country,description,designation,points,price,province,region_1,region_2,variety,winery
France,"This structured wine still has wood aromas although on the palate the rich, dark fruits dominate. The tannins both from wood and from the fruit are firm and still young, showing the possibility of long-term aging. This complex wine should not be drunk before 2019.",,90,45.0,Burgundy,Morey-Saint-Denis,,Pinot Noir,Labouré-Roi
US,"Quite a steal of a deal for a widely available wine, this shows cinnamon, red cherry, ripe cranberry, light tobacco and a touch of leather on the rustic nose. Once sipped, the mouthfeel is soft, offering flavors of cranberry and red cherry that are spiced by thyme, bay leaf and more cinnamon.",Estate Vineyards,90,23.0,California,Central Coast,Central Coast,Pinot Noir,MacMurray Ranch
US,"Hazelnut and truffle compete for affection in this juicy, rounded, lovable wine, a full-bodied and structured example from the appellation, known for its at-times generous portrait of tannin and wound-up concentration.",Sundawg Ridge Vineyard,90,49.0,California,Green Valley,Sonoma,Pinot Noir,MacPhail
France,"Aromas of this wine show considerable wood. On the palate, the wood is very present, giving acidity as well as layers of toast and spice. Hints of yellow fruit show through, suggesting the possibility of a ripe, rich wine in the future. Drink from 2019.",Bastion Premier Cru,90,59.0,Burgundy,Beaune,,Chardonnay,Chanson Père et Fils
France,"With tannins and new-wood flavors, this rich wine is also structured. A smoky character from the wood is shot through by perfumed red fruits. The aftertaste shows more of the wood flavors that need to integrate. Drink from 2018.",Clos de Jeu,90,,Burgundy,Marsannay,,Pinot Noir,Domaine Collotte
US,"Among the well-differentiated single vineyard selections from Soléna in 2014, this may be the most instantly enjoyable. It's a big, mouth-coating wine, a full-flavored burst of chocolate-covered cherries. Lighter notes of coffee and tobacco filter in through the extended finish.",Guadalupe Vineyard,90,48.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Soléna
US,"The oak in this wine is restrained, partly because it aged in stainless steel and a sizable percentage of neutral oak. Still, a richness of apple and pear compote provide a steady level of richness, while a lemon squeeze of acidity keeps it fresh and youthful.",,90,30.0,California,Napa Valley,Napa,Chardonnay,Stags' Leap Winery
US,"Seductive, spicy oak in the aromas and flavors puts a great spin on this medium-bodied, velvety smooth wine from a promising new winery in Northern California. Some ripe black-cherry and cranberry flavors chime in as well, supporting the toasted baguette, cedar and nutmeg nuances and layering seamlessly.",,90,40.0,California,Red Hills Lake County,Mendocino/Lake Counties,Cabernet Sauvignon,Boatique
US,"A slightly herbal, minty character gives personality to this full-bodied, generous and richly textured wine. It is attractively dry, nicely tannic, layered with black cherry, wild berry and rosemary notes. Great to drink now through 2020 with rich meats or mushrooms.",,90,15.0,California,California,California Other,Cabernet Sauvignon,Hahn
US,"An ambitious, concentrated, but not oaky wine, this has a very dark color, aromas of black cherries, and ripe but dry flavors of blackberries and dark chocolate. It is medium to full bodied, framed by lots of fine-grained tannins and finishing with more dark fruit. It's a good wine to lay down and drink after 2019.",,90,15.0,California,North Coast,North Coast,Cabernet Sauvignon,Lyeth
US,"Cherry pie and nuanced spice flavors buoy this delicately layered, medium-bodied vineyard designate that's built of robust fruit and supported quietly by oak. A thread of white pepper persists throughout, making it especially irresistible.",Sunny View,94,62.0,California,Russian River Valley,Sonoma,Pinot Noir,The Calling
US,"An aromatic textural wine, Wichmann sources fruit from the winery's oldest vines. Strawberry and cherry flavors are woven into details of citrus and tea. This elegant well-proportioned effort provides a feminine contrast to the sturdy Coast Range bottling.",Wichmann Dundee Estate,94,49.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Trisaetum
France,"This is the home estate of Madiran superstar Alain Brumont. The wine is big, bold, rich and packed with both fruit and tannins. It has great structure and a dense dusty tannic character that promises great aging. This is a major wine that needs time. Drink it starting from 2022.",Château Bouscassé,94,25.0,Southwest France,Madiran,,Red Blend,Vignobles Brumont
US,"This tremendous red wine is robustly aromatic, layering its black currant, dark cherry and chocolate scents with dusty sage and cedar. Luxuriously textured and smooth, it finishes focused and direct, with a lift of welcome acidity and complexity.",Reserve,94,95.0,California,Rutherford,Napa,Cabernet Sauvignon,Frank Family
US,"From a cool part of the Napa Valley, this wine is bright and medium bodied—a moderately oaked mix of lemon custard, floral citrus and green apple flavors with an underlying spark of lemongrass and ginger. Richly layered, it remains balanced and structured as it opens in the glass.",Haynes Old Block,94,55.0,California,Coombsville,Napa,Chardonnay,Ancien
US,"Many are now playing with the low-alcohol, nervy side of Chardonnay, but Doug Margerum succeeds more than most. This bottling is light in the glass, with clean and crisp Asian pear, nectarine and mandarin pith aromas. The palate is tightly wound and energetic, showing sharp citrus and rounded strone-fruit flavors. Drink now–2030.",,94,48.0,California,Sta. Rita Hills,Central Coast,Chardonnay,Barden
US,"This lovely, layered wine from the Santa Ynez Valley-based producer shows iron, cranberry, shiitake, cola and cherry on the nose. Those same elements are delicately woven into the palate, enhanced by a Sichuan peppercorn kick and vibrant acidity that will ensure a long life ahead. Its flavors continue to unwind as it opens in the glass.",Cuvée Sandre,94,68.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Demetria
US,"Aromatically compelling, this offers a complex mix of clover, chocolate and cherry in the nose. It is a substantial, fruit-packed wine, with cherry and plum fruit, a full-bodied midpalate, mouthfilling texture and nicely integrated barrel spices. It finishes with a streak of Meyer lemon acidity. Drink now through 2030.",Two Barns Vineyard,94,90.0,Oregon,Dundee Hills,Willamette Valley,Pinot Noir,Domaine Serene
US,"Cloudy, pungent and supremely earthy, this wine reveals its delicate acidity over time, bringing balance to its flamboyant fruit. With intense strawberry, orange peel and black tea flavors, it's savory and richly built, finishing on a touch of smoky vanilla.",Rogers Creek,93,60.0,California,Sonoma Coast,Sonoma,Pinot Noir,Cherry Pie
US,"High-toned aromas of cranberry, herb, black licorice and dried cherry are followed by tightly wound dark-fruit flavors backed by firm tannins. The finish extends into the distance. It's a highly structured wine, with its best days far in front of it. Best from 2021 through 2027.",,93,125.0,Washington,Washington,Washington Other,Bordeaux-style Red Blend,21 Grams
US,"Complemented with 11% Cabernet Franc, this vineyard designate from winemaker Jesse Katz shines in fragrant plum, raspberry and blackberry flavors. Softly layered and balanced, it teases with dark chocolate and clove hints.",Oliver's Vineyard,93,85.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Aperture
US,"Baked red cherry, vanilla pastry, loam, dried mint and forest floor notes all show in this excellent bottling from Bryan Babcock's family vineyard. Its tannic structure is immediately apparent, framing a core of raspberry fruit rounded out with thyme, oregano, black pepper and sea salt flavors. Drink 2021–2029.",Ocean's Ghost Babcock Vineyard,93,60.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Babcock
US,"Crisp with peach and apricot goodness, this full-bodied white's gravelly texture works to its advantage, providing both steely acidity and grip. That grit becomes velvety smooth as the wine opens in the glass, making it irresistibly seductive and inviting.",,93,58.0,California,Russian River Valley,Sonoma,Chardonnay,Parallel
US,"Fruit from the oldest blocks in this pioneering vineyard is sourced here. It's bright, spicy and focused, with forward citrus-scented Bing cherry flavors. The concentration and length are outstanding, with just the lightest suggestion of green herbs rounding out the finish.",Medici Vineyard,93,48.0,Oregon,Chehalem Mountains,Willamette Valley,Pinot Noir,Patricia Green Cellars
US,"Grown against all odds (and against all likelihood of economic viability) overlooking the Pacific Ocean atop Catalina Island, this Chardonnay is a success every vintage. It shows a broad spectrum of nutty aromas, from macadamia to cashew, with touches of honey and daffodil. On the palate, expect walnut, vanilla and oak smoke, with a butterscotch-like finish.",Santa Catalina Island Vineyards,93,60.0,California,California,California Other,Chardonnay,Rusack
US,"Another beauty from this producer and this appellation, Hughes is about granite-like minerality and rocky dust—a big-boned powerhouse from a powerful vintage that boasts generous spiced plum, cola, clove and black pepper flavors.",Hughes,93,120.0,California,Howell Mountain,Napa,Cabernet Sauvignon,Sbragia
Austria,"Oak leaf, tart strawberry and supple vanilla aromas appear immediately on the nose and continue their smooth interplay on the mellow palate. This is pliable in texture but has depth, backbone and inherent freshness. Delicious now, it has an underlying taut structure that will benefit from some bottle age. Drink 2018–2025.",The Butcher,93,,Burgenland,,,Pinot Noir,Schwarz Wein
US,"A collaboration between Sonoma County-based winemaker Jesse Katz and Ken Forrester of South Africa, this 100% varietal red is robust and rich. Dark cherry, red currant and integrated oak flavors support its bold body.",A Ken Forrester Wine Farrow Ranch,93,100.0,California,Alexander Valley,Sonoma,Cabernet Sauvignon,The Bridge
Spain,"Like it's bigger sibling El Anejón, this Reserva from a warm vintage is almost one-quarter Cabernet Sauvignon and Merlot in addition to Tinto Fino (Tempranillo). The opening of burnt earth, brandied cherry, rubber and herbal aromas is distinct. This feels a bit tough and chewy, with boysenberry, cassis, vanilla-cream and herbal spice flavors. A fairly smooth finish is young and vital. This should improve with aging. Best from 2019–2026.",Reserva,93,91.0,Northern Spain,Ribera del Duero,,Red Blend,Pago de Carraovejas
US,"This estate-grown, organic Chardonnay is a terrific value, detailed and brightly fruity, with precise angles and spicy details. The apple/pear/pineapple fruit flavors are crisply defined, perfectly ripe, and beautifully balanced.",,91,20.0,Oregon,Dundee Hills,Willamette Valley,Chardonnay,Thistle
US,"The wine is a successful blend of various mountain vineyards. It's a classic California Cab, rich in tannins, with brisk acidity and finely-etched black currant, cassis, mineral and oak flavors. Blended with some Merlot, it's fancy and elegant, a real beauty to drink now, and will hold in the bottle until 2024.",,91,55.0,California,Napa Valley,Napa,Cabernet Sauvignon,Vitesse
US,"Right out of the bottle, it's all about acidity and fresh, primary raspberry and cherry jam fruit. Wait until 2018 allow more complex mushroom flavors to emerge, as the wine gradually sheds tannins and develops secondary bottle notes.",Bald Mountain Vineyard,91,45.0,California,Ben Lomond Mountain,Central Coast,Pinot Noir,Beauregard
US,"This Chardonnay is rich in all the bells and whistles, such as aging on the lees in French oak barrels. The underlying fruit shows ripe, racy tropical flavors, as well as peach and pear notes that are deep and delicious. With production of 8,400 cases, the wine should be easy to find.",Estate Grown,91,28.0,California,Russian River Valley,Sonoma,Chardonnay,J Vineyards & Winery
France,"Still young, it has dense tannins, spice from wood aging and a smoky bacon flavor that is still integrating. It will have the right weight and good berry fruits as it ages, giving a sense of presence and grandeur. Drink from 2018.",,91,,Burgundy,Corton,,Pinot Noir,L. Tramier & Fils
US,"This wine is as dry as Chardonnay gets, almost severe, with the alcohol an amazingly low 13.2% by volume. The lean, angular mouthfeel provides hints of Meyer lemons, limes and wet stones, with a bit of tropical fruits suggesting that this is California, despite the vintage being the chilliest in memory. Drink it through 2020, but never too cold.",Lorenzo Vineyard,91,38.0,California,Russian River Valley,Sonoma,Chardonnay,La Follette
US,"The blend is Cabernet Sauvignon, Syrah, Merlot and Malbec. Cab Sauv brings rich black currants, as well as thick tannins. Merlot adds softer notes of cherries and violets. The Malbec increases the tannins, along with notes of grilled meat bone that Syrah, with its peppery, beef-jerky meatiness, enhances. The result is a young, vigorous wine, dry and balanced in acidity. It may or may not age, but there's no reason not to decant it now and enjoy with grilled beefsteak.",Jillian's Blend,91,44.0,California,Napa Valley,Napa,Red Blend,Laird
US,"Here's a big Pinot Noir, dark, dense and tannic. In part, those tannins are due to 30% whole-cluster fermentation, which also gives the wine a brooding earthiness and spiciness. Fully dry, it's packed with black cherry, rhubarb and pomegranate fruits. Hold it until 2018 and see how it's doing.",Rodgers Creek Vineyard,91,45.0,California,Sonoma Coast,Sonoma,Pinot Noir,Les Voleurs
France,"From a small estate, this big, ripe and fruity wine has swathes of black fruits to go with the dark, brooding tannins. Very broad and fruity, the wine is always likely to be structured. Drink from 2017.",,91,25.0,Bordeaux,Haut-Médoc,,Bordeaux-style Red Blend,Château Devise d'Ardilley
France,"White wines are rare in the Côte de Nuits and this wine is as structured as many reds. It does have strong toast flavors, a juicy citrus character and pear flavors. They go with an apple skin and spice aftertaste, laced with acidity. Drink until 2022.",Les Monts de Boncourt,91,60.0,Burgundy,Côtes de Nuits Villages,,Chardonnay,Domaine de Bellene
US,"Rich blackberry and chocolate form around chalky tannins and a juicy palate, with a waft of cigar in the distance. Medium bodied, round and soft, the finish is brushed in cherry and pomegranate.",,90,38.0,California,Napa Valley,Napa,Cabernet Sauvignon,Louis M. Martini
Australia,"Tim Knappstein's decision to focus on the Adelaide Hills bears fruit in this terrific-value Pinot Noir. The aromas and flavors are a colorful mélange of beets, black cherries and purple heirloom tomatoes, backed by a rich texture and a long velvety finish. Drink now until 2020.",The Dagger,90,20.0,South Australia,Adelaide Hills,,Pinot Noir,Riposte
US,"Vanilla, black-cherry soda and a berry crème brûlée character combine for a very playful and fun nose on this bottling. The palate tightens up that fun a bit but stays sexy, offering dark chocolate, red-berry jam and a shred of mint.",Soul Shaker Cass Vineyard,90,64.0,California,Paso Robles,Central Coast,Bordeaux-style Red Blend,Ascension Cellars
US,"Nicely layered aromas of clove, graphite, iron and simmering black cherries show on the complex nose of this well-priced bottling. More iron and raspberry appear on the palate, where a balanced acidity pairs well with the strong mineral character.",Estate Grown,90,40.0,California,Edna Valley,Central Coast,Pinot Noir,Chamisal Vineyards
France,"This blend of Bordeaux grapes with Syrah is rich and spicy. It is made to be drunk young, with touches of toast and a dense texture that brings out the perfumed character of Syrah balanced with Bordeaux structure. The wine is ready to drink, although it will be better from late 2016.",La Croix d'Argon,90,13.0,Southwest France,Côtes de Gascogne,,Red Blend,Domaine d'Arton
France,"From vines on the cooler left bank of the Serein river, this wine offers notes of toast, spice and ripe yellow fruits cut by tense, zingy lemon zest. It is textured, tense and full of minerality. Drink from 2017.",Vaillons Premier Cru,90,45.0,Burgundy,Chablis,,Chardonnay,Domaine Gérard Duplessis
US,"While soft and approachable, this wine also offers a density of black currant and cherry that gives significant power and juicy exuberance. Sizable tannins risk overtaking the fruit, but never do, with the oak imparting a jolt of smokiness on the finish.",Laki's Vineyard Estate,90,111.0,California,Oak Knoll District,Napa,Cabernet Sauvignon,Eleven Eleven
US,"This appealing, youthful wine wraps bright raspberry fruit in a fragrant blanket of toasty oak. It's lively, detailed and impeccably fresh, with the balance to age gracefully through at least 2021.",Backbone,90,57.0,Oregon,Oregon,Oregon Other,Pinot Noir,King Estate
US,"This 100% Dijon-clone bottling offers a bold mix of peach, banana and pineapple. It's fruit-driven from top to bottom, with supporting acids to keep it fresh and invigorating.",Truffle Hill,90,24.0,Oregon,Willamette Valley,Willamette Valley,Chardonnay,Left Coast Cellars
Australia,"This crisp, delicate Pinot Noir should be consumed over the next few years for its elegant cherry and rose petal notes and silky tannins. Hints of scorched earth and dry leaves add extra interest to the reasonably complex bouquet.",Applejack Vineyard,88,42.0,Victoria,Yarra Valley,,Pinot Noir,Giant Steps
France,"This wine has both fruitiness and delicious, bright acidity. A subtle use of wood creates a firm structure under the black currant fruit flavors, giving a solid base on which to develop. Drink from 2017.",,88,26.0,Bordeaux,Côtes de Bourg,,Bordeaux-style Red Blend,Etienne de Tauriac
US,"Fuller in style, it boasts layers of coconut cream pie, fig and honey, with a swirl of vanilla lurking in there too. Mineral-rich, the finish revisits the creamy, baked fruit theme, lush and generous.",,88,39.0,California,Russian River Valley,Sonoma,Chardonnay,Fog Crest
US,"Big and flashy, it has oodles of almost sweet oak and ripe fruit character. Full-bodied, rich in texture, with ripe raspberry and red cherry flavors, it offers firm tannins and a lingering, vanilla scented finish.",,88,55.0,California,Anderson Valley,Mendocino/Lake Counties,Pinot Noir,Goldeneye
US,"One of the many estate Pinot Noirs produced by the pioneering Arroyo Grande Valley winery, which was founded as a sparkling wine house, this offers scents of sandalwood, black licorice and red currant. The flavors are tart with cranberry, then bring some bitter notes of crushed herbs.",Estate,88,25.0,California,Arroyo Grande Valley,Central Coast,Pinot Noir,Laetitia
US,"Potent and pungent, it holds juicy acids tasting of grapefruit. It plunges into a chocolaty midpalate with strawberry fruit that thins into light flavors of soda pop.",Diversité,88,48.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Le Cadeau
US,"Light, bright and refreshing, it offers pear spritzer, lime zest and a hint of guava on the nose, followed by citrus rind, light papaya and apple juice on the palate. It makes a nice bridge between the richness of Chardonnay and crispness of Sauvignon Blanc.",Stainless,88,18.0,California,Central Coast,Central Coast,Chardonnay,Chamisal Vineyards
US,"The best of the winery's 2011 block reserves, this displays a solid core of cherry fruit, augmented with some streaks of steel and stone. It's firm and tannic, with plenty of tart acidity behind the crisp fruit.",Sarah Jane's Block Reserve,88,65.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Coeur de Terre
US,"This longtime Carneros producer sources from dozens of its own blocks to put together this estate Chardonnay. Intense in floral aromas as well as peach and lemon, it's dusted only slightly in clove and a light barrel imprint. Bright on the tongue and on the finish, it's a food-friendly wine that will complement.",Estate Grown,88,25.0,California,Carneros,Napa-Sonoma,Chardonnay,Cuvaison
US,"Silky in cherry and strawberry with a dense midpalate of refined oak, this delicately hued Pinot comes from a single, hillside block of Cuvaison's Carneros property. With pretty aromas of violet and rose, it has richness that isn't overdone, a nice expression of the appellation's power and finesse.",Spire,88,48.0,California,Carneros-Napa Valley,Napa,Pinot Noir,Cuvaison
France,"A cherry-fresh wine that's so full of fruit that its structure becomes secondary. A dry edge of tannin supports the fruit and acidity, making this wine so drinkable now.",,88,20.0,Loire Valley,Menetou-Salon,,Pinot Noir,Domaine de l'Hermitage
US,"Smoke and oak pronounce themselves vigorously on the nose and entry of this 100% varietal wine, which holds on with a tight grip. Black fruit dominates with leather, chocolate and tobacco playing secondary roles. The finish is lengthy and powerful.",Estate Grown,90,55.0,California,Moon Mountain District Sonoma County,Sonoma,Cabernet Sauvignon,Korbin Kameron
US,"Entirely sourced from this Sangiacomo family-farmed vineyard, which is planted entirely to the Old Wente clone, this wine offers fleshy and tropical juiciness and texture. Aged in French oak, the vast majority of it neutral, the wine lets the fruit and acidity speak for themselves.",Sangiacomo Green Acres Hill,90,46.0,California,Sonoma Coast,Sonoma,Chardonnay,Eric Kent
US,"From the renowned vineyard's F Block comes a wine with plump wild berries, pencil lead and juniper on a tightly woven nose. Certain to last for years and evolve steadily over that time, the palate now shows lavender, elderberry, elderflower, cranberry essence and a touch of black tea. Drink 2018–2028.",Bien Nacido Vineyard,90,55.0,California,Santa Barbara County,Central Coast,Pinot Noir,Fess Parker
US,"Cherry-rhubarb juice, shiitake mushrooms, sagebrush and iron make for a lush and layered nose on this appellation-blend wine that is widely available. The palate begins with plush red cherry then dives into oregano, sage and mace spice. It's expertly complex for a reasonably priced wine.",,90,30.0,California,Sta. Rita Hills,Central Coast,Pinot Noir,Fess Parker
US,"Rich, ripe streaks of black cherry preserve are balanced by savory nuances of dried herb, toast and bramble in this luscious Pinot Noir. Aptly “lusty” in style, it's deeply concentrated with an unabashed fruit-forwardness, but crisp cranberry acidity and a penetrating earthiness gives it marked composure.",Lust,90,27.0,New York,Finger Lakes,Finger Lakes,Pinot Noir,Inspire Moore
US,"This wine is sourced from a handful of stellar vineyards, including Pratt, Dutton, Sullivan and Chenoweth. It was given 18 months in French oak, all of it twice-used or older, which contributes to an integrated, understated wood presence that's refreshing in its restraint. Creamy acidity and a taste of baked bread cradles lemon zest and almond before a crisp, lengthy finish.",,90,48.0,California,Sonoma Coast,Sonoma,Chardonnay,La Pitchoune
US,"Deep, dark blueberry fruit meets with beef char, fudge chocolate and espresso-bean notes on the nose of this blend of 59% Petite Sirah, 15% Syrah, 14% Tannat, 7% Petit Verdot, 4% Grenache and 1% Viognier. The rigid tannins need a little more time to open, but the zesty blueberry, blackberry and black-pepper flavors shine across the fresh, sizzling acidity.",1105,90,48.0,California,Paso Robles,Central Coast,Red Blend,MCV
US,"Ripe fruit and oak loom large in this wine, produced from relatively old vines in the heart of the appellation, long a source for the producer's Pinot Noir. Preserved lemon, fleshy melon and caramel dance around each other, steeped in Golden Delicious apple, honey and pear. A high wire of acidity marks the finish.",Olivet Lane,90,60.0,California,Russian River Valley,Sonoma,Chardonnay,Merry Edwards
US,"Cabernet Sauvignon makes up just over half of this blend with the rest Cabernet Franc and Merlot. Vanilla and cocoa aromas are out in front of herb, black licorice and dark fruit. The dark-fruit and woodspice flavors are refined and show a sense of depth, elegance and balance that captures the attention.",Damn Straight,90,40.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Plumb Cellars
US,"Mounds of decadent chocolate and cassis round out a smoothly textured wine dotted in dried herb and black olive, coming together in firm tannin and integrated acidity. The finish is leathery.",,90,85.0,California,Mount Veeder,Napa,Cabernet Sauvignon,V. Sattui
Italy,"Aromas of scorched earth, game, truffle and mature plum come together in the glass. The ripe palate offers dried blackberry, mature cherry, anise and almond alongside firm, fine-grained tannins. Drink through 2020.",Riserva,90,25.0,Tuscany,Chianti Classico,,Red Blend,Il Brunone
US,"This red blend is nicely dry, with abundant of dark plum and pomegranate flavors and a full-bodied, moderately tannic mouthfeel. It's easy to drink but bold enough to pair with hearty proteins.",Harvest,86,18.0,California,California,California Other,Red Blend,The Naked Grape
US,"While light in color, this wine is flavorful and easy to enjoy. Its smoothly textured, medium-bodied palate carries generous red cherry and plum flavors.",Saluté,85,15.0,California,Livermore Valley,Central Coast,Red Blend,Rubino Estates Winery
France,This is the second label from this Gaillac estate. It is a fine mix of red fruits and spice—all fruitiness and with a strong shot of acidity. The wine is made to be drunk young; enjoy this summer.,Les Petits Clément Merlot Duras,85,16.0,Southwest France,Côtes du Tarn,,Red Blend,Château Clément Termes
US,A hint of maple syrup in the aromas and flavors gives this medium-bodied red a touch of sweetness. Oak flavors dominate the modest fruit on the palate.,,85,15.0,California,California,California Other,Cabernet Sauvignon,Jack's House
US,"This wine veers slightly sweet, like many overripe red blends. It's deep in color, soft in and makes a good counterpoint to spicy foods.",,85,12.0,California,California,California Other,Cabernet Sauvignon,Mirassou
South Africa,"This is soft and accessible now, with plush notes of baked apple, creamed pear and oaky spice on the attack. The medium-weight palate is broad in feel, begging for a bit more lift to the rich fruit and buttered toast flavors. Drink now.",Crocodile's Lair Kaaimansgat,85,20.0,Overberg,,,Chardonnay,Bouchard Finlayson
Argentina,"Narrow berry aromas are angular and punchy. This feels high in acidity, with hard tannins. That sharp acidity makes for tart unyielding black plum flavors.",Eggo Tinta de Tiza,85,30.0,Mendoza Province,Tupungato,,Bordeaux-style Red Blend,Zorzal
Spain,"An aromatic opening of compost and vinegar might suggest casting this aside. But flavors of strawberry and chocolate, along with an admitted weedy note, amount to something decent. Finishing notes of brown sugar and berry syrup are chocolaty and ensure that this finishes better than it begins.",Colección Vivanco Dulce de Invierno Late Harvest,85,50.0,Northern Spain,Rioja,,Red Blend,Vivanco
US,"This is a simple, tart red, crisp in cranberry and red currant fruit and perfumed with spicy oak. Despite the high acidity on the front palate, it hangs heavy in full-bodied ripeness.",Cross Creek Vineyard,85,65.0,California,Moon Mountain District Sonoma County,Sonoma,Cabernet Sauvignon,Spann Vineyards
Bulgaria,"This straw-colored Chardonnay has aromas of apple and citrus blossom with flavors of creamy apple, vanilla and citrus pith. It has nice weight on the palate with a clean acidic finish.",Veni Vidi Vici,85,9.0,Thracian Valley,,,Chardonnay,Vini
Israel,"A clean nose of citrus paves the way for flavors of grapefruit and Sevilla orange. This wine is soft and pleasing on the palate, but it may be touch tart for some tastes.",Admon Vineyard,85,30.0,Galilee,,,Chardonnay,Carmel
Spain,"Concentrated aromas of blackened oak, blackberry, cassis, licorice and hickory smoke are clarion calls that this is a fully oaked, modern wine. In the mouth, it's heavy and tannic but doesn't trip over itself. Blackberry, cassis, burnt toast and campfire flavors finish equally toasted, peppery, charred and lemony, with chewy tannins. Drink through 2020.",Herència del Padrí,89,26.0,Catalonia,Priorat,,Red Blend,Bernard Magrez
US,"With fresh green-apple aromas, and juicy apple and citrus flavors, this is a lively, crisp and well-balanced wine. Instead of going for overt oaky, buttery flavors and a fat mouthfeel, it stays nicely lean and refreshing, even with relatively full body.",,89,20.0,California,Yountville,Napa,Chardonnay,Hoopla
US,"Slightly oxidized aromas of marzipan, pressed yellow flowers, dried lemon rinds and apricot cream entice the nose on this wine from the historic vineyard by Joshua Klapper. The palate shows woody spice and a unique iodine character, with cinnamon, salt, sour yeastiness and a touch of tart citrus peel.",Bien Nacido,89,36.0,California,Santa Maria Valley,Central Coast,Chardonnay,La Fenêtre
Italy,"Sangiovese, Cabernet Sauvignon, Merlot and Syrah come together to offer scents of red currant, toast, cedar and spice. It's firm and savory, with notes of white pepper, aniseed and dried aromatic herbs alongside assertive tannins. Drink 2016–2020.",Ad Astra,89,23.0,Tuscany,Toscana,,Red Blend,Nittardi
Italy,"Blueberry, chocolate, mint and clove aromas lead the nose of this blend of 50% Syrah, 35% Cabernet Franc and 15% Petit Verdot. The palate offers dried black cherries, coffee, cinnamon, black pepper and cocoa. Fine-grained tannins provide the framework.",Oliviero Toscani,89,28.0,Tuscany,Toscana,,Red Blend,OT
Chile,"Solid berry and cassis aromas are a touch baked on the nose. This is firm, moderately tannic on the palate, with baked plum, blackberry, vanilla and spice flavors. A woody note of maple gains prominence on the finish.",,89,20.0,Maipo Valley,,,Cabernet Sauvignon,Primus
US,"One barrel was new French oak, the other neutral. The cranberry fruit here is subdued and tart, while the barrel aging brings in popcorn, walnuts and even a trace of butter brickle. Give this bottle until 2017–2017 to open up.",Reserve Rêve Estate,89,45.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Provincial Vineyards
Chile,"This fruity, friendly Pinot opens with ripe berry aromas mixed with touches of minerality and latex. It feels fresh and sturdy, with black cherry and raspberry flavors. A pure, sweet, lightly chocolaty finish wraps things up.",,89,20.0,Casablanca Valley,,,Pinot Noir,Ritual
Italy,"This blend of 50% Cabernet Sauvignon, 25% Merlot and 25% Petit Verdot offers aromas of ripe black-skinned fruit, blue flowers, vineyard dust and dark cooking spices. The firm palate delivers black currants, licorice, cinnamon, ground pepper and Mediterranean herbs. Bracing tannins offer support and leave an astringent, drying finish.",Cerviolo,89,45.0,Tuscany,Toscana,,Red Blend,San Fabiano Calcinaia
US,"Despite the name, this is the value offering, not the reserve, from Soléna. Young, tart and tight, it displays primary fruit flavors of strawberry and raspberry, with sharp, lemony acids. Holding until 2016–2017 may help to smooth it out, but it's perfectly delightful already.",Grande Cuvée,89,28.0,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Soléna
Chile,"Brambly cassis and raspberry aromas are warm and a touch cooked. This is bullish, heavy and grabby in feel, with big tannins. Blackberry, cassis, herb and chocolate flavors finish ripe and dark. Drink through 2017.",La Capilla Single Vineyard,89,25.0,Colchagua Valley,,,Cabernet Sauvignon,Viu Manent
US,"Deep blueberry, prune and dried purple aromas are made even more delicious by hints of bacon fat on this blend of 60% Petite Sirah, 30% Syrah, 9% Mourvèdre and 1% Grenache. The vintner lives in the historic Uvas Valley between Gilroy and Morgan Hill. Purple fruit juiciness is balanced by a sharp licorice edge, framed by judicious acidity and tannins.",Faith,89,39.0,California,California,California Other,Red Blend,Aver Family Vineyards
Italy,"Aromas of underbrush, black fruit, toast and espresso lead the nose on the blend of Sangiovese and 15% Malvasia Nera. The palate is still resting heavily on its oak, showing coffee, coconut, vanilla and mocha, along with dried black cherry, prune and clove. The raspy tannins need to soften up but the fruit richness is already drying up.",I Sodi di San Niccolò,89,90.0,Tuscany,Toscana,,Red Blend,Castellare di Castellina
US,"Aromas are dominated by oak with accents of vanilla, cocoa and woodspice along with cranberries, rose hips, herbs and raspberries. The palate is elegant with herb and cherry flavors that lead to a tart, cranberry-filled finish.",Copeland Vineayard,87,28.0,Washington,Yakima Valley,Columbia Valley,Cabernet Sauvignon,Two Mountain
US,"Though just five years old, this blend of Cabernet Sauvignon, Petit Verdot and Merlot already seems quite tired, with notes of leather, dried red fruit and mushroom taking the lead. It has a pleasing, silky feel but the tart fruit flavors seem past their prime.",Intrepide,87,36.0,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Ott & Murphy
