,description,variety
201,"Coming from vines ranging in age from 9–39 years, this is an aromatically complex wine, with notes of wet slate, orange peel and herb. It drinks off dry, with tart, mouthwatering acidity accenting the abundant stone fruit flavors—a thriller of a wine.",Riesling
202,"Working from an urban winery on Santa Barbara's Eastside, Matthias Pippig created the Loner Chardonnay series. This entry begins with scents of cider, nectarine and lemon-lime soda before delving into a palate laden with yellow fruits and flowers. Sourdough yeastiness surrounds a lingering line of grapefruit zest-led acidity.",Chardonnay
203,"With voluptuous confectionary-like aromas surrounded by a rich toasty character, this wine from the wonderful Hyde Vineyard offers lemon and crisp yellow apple around a core of brilliant minerality. Vanilla and crème brûlée interplay on the palate, the body of the wine firm and round.",Chardonnay
204,"Big points for subtlety, length and elegance here—this is not a wine that will blow you away at first sniff. Stay with it and it stays with you; opening sharp-edged, pungent and slightly grassy, then developing a tightly focused midpalate with pure lime and apple fruit flavors. Accents of mustard greens and white pepper come in as a long, delicate yet detailed finish slowly unfolds.",Chardonnay
205,"This single-vineyard wine shows both the warmth of the vintage and the coolness of this site, boasting depth and richness to the fruit flavors while retaining good acidity. It combines notes of apple, peach and lees with light barrel accents—20% new French—and a creamy feel. Enjoy with shrimp stir fried in olive oil for a pairing nirvana.",Chardonnay
206,"This is rich and full-bodied, a splendid wine with its ripe yellow fruits, intensely aromatic character and a pinch of pepper. Concentrated, it finishes with a light touch of toastiness that hints at the maturity to come. Drink from 2016.",Riesling
207,"Part of the impressive series of Jubilée wines that are aged before release, this Hugel Riesling is just getting to maturity with its soft aromatic character, touch of toastiness, and refreshing herbal flavors. It's now ready to drink, although it will be even better from 2016.",Riesling
208,"This begins with scents of dried orange rinds and mango laced with honey as well as deeper aromas of rocks and savory herbs. A tight lemon acidity runs down the middle of the palate, with yellow flowers, yeast and toasted pine nuts on the side. It's both racy and rounded, and is showing a touch of age.",Chardonnay
209,"Honeysuckle and jasmine pique interest aromatically before luscious, linear waves of vanilla, caramel and lemon custard graciously interject, buoyed by ample acidity and a lush texture. This Chardonnay offers generous richness alongside high-toned minerality, and is a delicious go-to for buttery lobster dishes.",Chardonnay
210,"The aromas of this Chardonnay are zesty and fresh yet rich, with barrel smoke, caramelized pear and vanilla tones. The integration continues on the palate, with a bit of oak followed by apple, white peach, nectarine and lime zest. It's flavorful and enjoyable now.",Chardonnay
211,"Unctuous and ripe in caramel and toasty aromas, this is deep golden in color but completely crisp and balanced in the glass. The nose is so overwhelming that the flavors take time to show. Once they do, it's a celebration of green apple and melon enveloped in complex minerality and a supple body.",Chardonnay
212,"Kirsten's Feinherb, or gently sweet bottling, maintains a firm foundation of stoniness, but also embraces softer, less angular dimensions of spring blossom and peach. High-toned acidity brighten and lifts the palate through a long finish. Drink now through 2021.",Riesling
213,"Situated close to the northern edge of Beaune vineyards, this premier cru has something of the soft ripeness of Savigny-lès-Beaune next door. The wine is ripe, with tannins that are present although certainly not dominant. It has the potential to revel in its red fruits and generous texture. Drink this wine from 2019.",Pinot Noir
214,"This structured wine still has wood aromas although on the palate the rich, dark fruits dominate. The tannins both from wood and from the fruit are firm and still young, showing the possibility of long-term aging. This complex wine should not be drunk before 2019.",Pinot Noir
215,"Quite a steal of a deal for a widely available wine, this shows cinnamon, red cherry, ripe cranberry, light tobacco and a touch of leather on the rustic nose. Once sipped, the mouthfeel is soft, offering flavors of cranberry and red cherry that are spiced by thyme, bay leaf and more cinnamon.",Pinot Noir
216,"Hazelnut and truffle compete for affection in this juicy, rounded, lovable wine, a full-bodied and structured example from the appellation, known for its at-times generous portrait of tannin and wound-up concentration.",Pinot Noir
217,"Luscious white peach and apricot flavors are anchored by a steely core of mineral in this easy-drinking but elegant wine. Light bodied but persistent, it's a lip-smacking, sweet wine that finishes with a touch of brambly herbaceousness. Drink now through 2020.",Riesling
218,"Aromas of this wine show considerable wood. On the palate, the wood is very present, giving acidity as well as layers of toast and spice. Hints of yellow fruit show through, suggesting the possibility of a ripe, rich wine in the future. Drink from 2019.",Chardonnay
219,"Among the well-differentiated single vineyard selections from Soléna in 2014, this may be the most instantly enjoyable. It's a big, mouth-coating wine, a full-flavored burst of chocolate-covered cherries. Lighter notes of coffee and tobacco filter in through the extended finish.",Pinot Noir
220,"The oak in this wine is restrained, partly because it aged in stainless steel and a sizable percentage of neutral oak. Still, a richness of apple and pear compote provide a steady level of richness, while a lemon squeeze of acidity keeps it fresh and youthful.",Chardonnay
221,"Seductive, spicy oak in the aromas and flavors puts a great spin on this medium-bodied, velvety smooth wine from a promising new winery in Northern California. Some ripe black-cherry and cranberry flavors chime in as well, supporting the toasted baguette, cedar and nutmeg nuances and layering seamlessly.",Cabernet Sauvignon
222,"Apple, pear and stone-fruit flavors are vibrant and fresh from nose to finish of this delicately sweet Kabinett. It offers uncomplicated refreshment, but is anchored with taut acidity and honed, steely minerality. The finish is long and persistent.",Riesling
223,"A slightly herbal, minty character gives personality to this full-bodied, generous and richly textured wine. It is attractively dry, nicely tannic, layered with black cherry, wild berry and rosemary notes. Great to drink now through 2020 with rich meats or mushrooms.",Cabernet Sauvignon
224,"An ambitious, concentrated, but not oaky wine, this has a very dark color, aromas of black cherries, and ripe but dry flavors of blackberries and dark chocolate. It is medium to full bodied, framed by lots of fine-grained tannins and finishing with more dark fruit. It's a good wine to lay down and drink after 2019.",Cabernet Sauvignon
225,"Cherry pie and nuanced spice flavors buoy this delicately layered, medium-bodied vineyard designate that's built of robust fruit and supported quietly by oak. A thread of white pepper persists throughout, making it especially irresistible.",Pinot Noir
226,"An aromatic textural wine, Wichmann sources fruit from the winery's oldest vines. Strawberry and cherry flavors are woven into details of citrus and tea. This elegant well-proportioned effort provides a feminine contrast to the sturdy Coast Range bottling.",Pinot Noir
227,"This is the home estate of Madiran superstar Alain Brumont. The wine is big, bold, rich and packed with both fruit and tannins. It has great structure and a dense dusty tannic character that promises great aging. This is a major wine that needs time. Drink it starting from 2022.",Red Blend
228,"This tremendous red wine is robustly aromatic, layering its black currant, dark cherry and chocolate scents with dusty sage and cedar. Luxuriously textured and smooth, it finishes focused and direct, with a lift of welcome acidity and complexity.",Cabernet Sauvignon
229,"From a cool part of the Napa Valley, this wine is bright and medium bodied—a moderately oaked mix of lemon custard, floral citrus and green apple flavors with an underlying spark of lemongrass and ginger. Richly layered, it remains balanced and structured as it opens in the glass.",Chardonnay
230,"Many are now playing with the low-alcohol, nervy side of Chardonnay, but Doug Margerum succeeds more than most. This bottling is light in the glass, with clean and crisp Asian pear, nectarine and mandarin pith aromas. The palate is tightly wound and energetic, showing sharp citrus and rounded strone-fruit flavors. Drink now–2030.",Chardonnay
231,"This lovely, layered wine from the Santa Ynez Valley-based producer shows iron, cranberry, shiitake, cola and cherry on the nose. Those same elements are delicately woven into the palate, enhanced by a Sichuan peppercorn kick and vibrant acidity that will ensure a long life ahead. Its flavors continue to unwind as it opens in the glass.",Pinot Noir
232,"Aromatically compelling, this offers a complex mix of clover, chocolate and cherry in the nose. It is a substantial, fruit-packed wine, with cherry and plum fruit, a full-bodied midpalate, mouthfilling texture and nicely integrated barrel spices. It finishes with a streak of Meyer lemon acidity. Drink now through 2030.",Pinot Noir
233,"Cloudy, pungent and supremely earthy, this wine reveals its delicate acidity over time, bringing balance to its flamboyant fruit. With intense strawberry, orange peel and black tea flavors, it's savory and richly built, finishing on a touch of smoky vanilla.",Pinot Noir
234,"Complemented with 11% Cabernet Franc, this vineyard designate from winemaker Jesse Katz shines in fragrant plum, raspberry and blackberry flavors. Softly layered and balanced, it teases with dark chocolate and clove hints.",Cabernet Sauvignon
235,"Baked red cherry, vanilla pastry, loam, dried mint and forest floor notes all show in this excellent bottling from Bryan Babcock's family vineyard. Its tannic structure is immediately apparent, framing a core of raspberry fruit rounded out with thyme, oregano, black pepper and sea salt flavors. Drink 2021–2029.",Pinot Noir
236,"Crisp with peach and apricot goodness, this full-bodied white's gravelly texture works to its advantage, providing both steely acidity and grip. That grit becomes velvety smooth as the wine opens in the glass, making it irresistibly seductive and inviting.",Chardonnay
237,"Fruit from the oldest blocks in this pioneering vineyard is sourced here. It's bright, spicy and focused, with forward citrus-scented Bing cherry flavors. The concentration and length are outstanding, with just the lightest suggestion of green herbs rounding out the finish.",Pinot Noir
238,"Grown against all odds (and against all likelihood of economic viability) overlooking the Pacific Ocean atop Catalina Island, this Chardonnay is a success every vintage. It shows a broad spectrum of nutty aromas, from macadamia to cashew, with touches of honey and daffodil. On the palate, expect walnut, vanilla and oak smoke, with a butterscotch-like finish.",Chardonnay
239,"Another beauty from this producer and this appellation, Hughes is about granite-like minerality and rocky dust—a big-boned powerhouse from a powerful vintage that boasts generous spiced plum, cola, clove and black pepper flavors.",Cabernet Sauvignon
240,"A collaboration between Sonoma County-based winemaker Jesse Katz and Ken Forrester of South Africa, this 100% varietal red is robust and rich. Dark cherry, red currant and integrated oak flavors support its bold body.",Cabernet Sauvignon
241,"Like it's bigger sibling El Anejón, this Reserva from a warm vintage is almost one-quarter Cabernet Sauvignon and Merlot in addition to Tinto Fino (Tempranillo). The opening of burnt earth, brandied cherry, rubber and herbal aromas is distinct. This feels a bit tough and chewy, with boysenberry, cassis, vanilla-cream and herbal spice flavors. A fairly smooth finish is young and vital. This should improve with aging. Best from 2019–2026.",Red Blend
242,"This estate-grown, organic Chardonnay is a terrific value, detailed and brightly fruity, with precise angles and spicy details. The apple/pear/pineapple fruit flavors are crisply defined, perfectly ripe, and beautifully balanced.",Chardonnay
243,"The wine is a successful blend of various mountain vineyards. It's a classic California Cab, rich in tannins, with brisk acidity and finely-etched black currant, cassis, mineral and oak flavors. Blended with some Merlot, it's fancy and elegant, a real beauty to drink now, and will hold in the bottle until 2024.",Cabernet Sauvignon
244,"Right out of the bottle, it's all about acidity and fresh, primary raspberry and cherry jam fruit. Wait until 2018 allow more complex mushroom flavors to emerge, as the wine gradually sheds tannins and develops secondary bottle notes.",Pinot Noir
245,"Whiffs of spice, honeycomb and lanolin meld curiously on the nose of this intensely mineral Riesling. Dry in style, with pretty yellow-cherry flavor, it builds in concentration and complexity as shades of spice, rock and fruit amass against a backdrop of sunny tangerine acidity. Drink now.",Riesling
246,"This dainty off-dry Riesling is marked by aromas—ripe stone fruit and florals against a backdrop of tea leaves and crushed minerals. On the palate, it's intensely juicy, with flavors of orange, mango and peach, but with a streak of acidity that ripples the tongue.",Riesling
247,"Lavish aromas of ripe peach, canteloupe and honeysuckle extend onto the palate of this juicy, fruit-forward Riesling. Semi-sweet in style, it's one lipsmacking nectar, with bracing lime acidity on the finish.",Riesling
248,"Smoke and jasmine-tea notes mingle seductively on this brisk, gorgeously floral off-dry Riesling. The palate is lush, with ripe peach and nectarine flavors that fill the mouth, finishing long.",Riesling
249,"This Chardonnay is rich in all the bells and whistles, such as aging on the lees in French oak barrels. The underlying fruit shows ripe, racy tropical flavors, as well as peach and pear notes that are deep and delicious. With production of 8,400 cases, the wine should be easy to find.",Chardonnay
250,"This wine is as dry as Chardonnay gets, almost severe, with the alcohol an amazingly low 13.2% by volume. The lean, angular mouthfeel provides hints of Meyer lemons, limes and wet stones, with a bit of tropical fruits suggesting that this is California, despite the vintage being the chilliest in memory. Drink it through 2020, but never too cold.",Chardonnay
251,"The blend is Cabernet Sauvignon, Syrah, Merlot and Malbec. Cab Sauv brings rich black currants, as well as thick tannins. Merlot adds softer notes of cherries and violets. The Malbec increases the tannins, along with notes of grilled meat bone that Syrah, with its peppery, beef-jerky meatiness, enhances. The result is a young, vigorous wine, dry and balanced in acidity. It may or may not age, but there's no reason not to decant it now and enjoy with grilled beefsteak.",Red Blend
252,"Here's a big Pinot Noir, dark, dense and tannic. In part, those tannins are due to 30% whole-cluster fermentation, which also gives the wine a brooding earthiness and spiciness. Fully dry, it's packed with black cherry, rhubarb and pomegranate fruits. Hold it until 2018 and see how it's doing.",Pinot Noir
253,"Ripe, juicy peaches and nectarines burst from the nose and palate of this semisweet Riesling. Sunny and pristine, with a soft, lacy sweetness, it's balanced by bristling acidity and a delicate minerality on the finish.",Riesling
254,"Fresh, herbaceous notes on the nose and palate lend elegance to this rich, round Riesling, full of sweet canteloupe and peach flavors. It's delicately structured, with a zingy strike of citrus acidity and hints of spice that carry long on the finish.",Riesling
255,"This semisweet Riesling balances an intensely fruit-forward profile of ripe yellow cherry and quince flavors against a backdrop of crisp, tart tangerine acidity. It's sunny and bright, yet elegantly composed, with a bristle of fresh herb notes that linger on the finish.",Riesling
256,"Opening with aromatic notes of smoke against a backdrop of stone fruit and apple blossoms, this is a racy little Riesling that packs a powerful punch of flavor. Delicately sweet, with a saturated palate of yellow cherry and quince, it's smartly balanced by a sheen of minerals and brisk, bracing citrus acidity.",Riesling
257,"Wisps of smoke and candle wax seem savory in contrast to the ripe stone fruit and lemon aromas on this concentrated Riesling. Ripe, juicy tangerine flavors lend sweetness to the palate, but are cut with a vein of lime acidity that reverberates from start to finish. It's delicately textured, yet chock full of vibe and zest.",Riesling
258,"While remarkably lithe and delicate in style, this complex auslese is lusciously concentrated, with ripe peach and nectarine flavors balanced by hints of smoke, spice and musk. It's zippy and bright, with tart tangerine acidity and a wave of minerality on the finish.",Riesling
259,"White wines are rare in the Côte de Nuits and this wine is as structured as many reds. It does have strong toast flavors, a juicy citrus character and pear flavors. They go with an apple skin and spice aftertaste, laced with acidity. Drink until 2022.",Chardonnay
260,"Rich blackberry and chocolate form around chalky tannins and a juicy palate, with a waft of cigar in the distance. Medium bodied, round and soft, the finish is brushed in cherry and pomegranate.",Cabernet Sauvignon
261,"Tim Knappstein's decision to focus on the Adelaide Hills bears fruit in this terrific-value Pinot Noir. The aromas and flavors are a colorful mélange of beets, black cherries and purple heirloom tomatoes, backed by a rich texture and a long velvety finish. Drink now until 2020.",Pinot Noir
262,"Nicely layered aromas of clove, graphite, iron and simmering black cherries show on the complex nose of this well-priced bottling. More iron and raspberry appear on the palate, where a balanced acidity pairs well with the strong mineral character.",Pinot Noir
263,"This blend of Bordeaux grapes with Syrah is rich and spicy. It is made to be drunk young, with touches of toast and a dense texture that brings out the perfumed character of Syrah balanced with Bordeaux structure. The wine is ready to drink, although it will be better from late 2016.",Red Blend
264,"From vines on the cooler left bank of the Serein river, this wine offers notes of toast, spice and ripe yellow fruits cut by tense, zingy lemon zest. It is textured, tense and full of minerality. Drink from 2017.",Chardonnay
265,"Delicate whiffs of tangerine and lime intensify on the palate of this Spätlese Riesling, complemented by swathes of green herb and pine frond. It's superlight in texture, yet penetrating, showering the palate in sweet-tart grapefruit and Meyer lemon flavors. The finish is crisp and clean.",Riesling
266,"While soft and approachable, this wine also offers a density of black currant and cherry that gives significant power and juicy exuberance. Sizable tannins risk overtaking the fruit, but never do, with the oak imparting a jolt of smokiness on the finish.",Cabernet Sauvignon
267,"This appealing, youthful wine wraps bright raspberry fruit in a fragrant blanket of toasty oak. It's lively, detailed and impeccably fresh, with the balance to age gracefully through at least 2021.",Pinot Noir
268,"This 100% Dijon-clone bottling offers a bold mix of peach, banana and pineapple. It's fruit-driven from top to bottom, with supporting acids to keep it fresh and invigorating.",Chardonnay
269,"This crisp, delicate Pinot Noir should be consumed over the next few years for its elegant cherry and rose petal notes and silky tannins. Hints of scorched earth and dry leaves add extra interest to the reasonably complex bouquet.",Pinot Noir
270,"Fuller in style, it boasts layers of coconut cream pie, fig and honey, with a swirl of vanilla lurking in there too. Mineral-rich, the finish revisits the creamy, baked fruit theme, lush and generous.",Chardonnay
271,"Big and flashy, it has oodles of almost sweet oak and ripe fruit character. Full-bodied, rich in texture, with ripe raspberry and red cherry flavors, it offers firm tannins and a lingering, vanilla scented finish.",Pinot Noir
272,"One of the many estate Pinot Noirs produced by the pioneering Arroyo Grande Valley winery, which was founded as a sparkling wine house, this offers scents of sandalwood, black licorice and red currant. The flavors are tart with cranberry, then bring some bitter notes of crushed herbs.",Pinot Noir
273,"Potent and pungent, it holds juicy acids tasting of grapefruit. It plunges into a chocolaty midpalate with strawberry fruit that thins into light flavors of soda pop.",Pinot Noir
274,"Light, bright and refreshing, it offers pear spritzer, lime zest and a hint of guava on the nose, followed by citrus rind, light papaya and apple juice on the palate. It makes a nice bridge between the richness of Chardonnay and crispness of Sauvignon Blanc.",Chardonnay
275,"The best of the winery's 2011 block reserves, this displays a solid core of cherry fruit, augmented with some streaks of steel and stone. It's firm and tannic, with plenty of tart acidity behind the crisp fruit.",Pinot Noir
276,"This longtime Carneros producer sources from dozens of its own blocks to put together this estate Chardonnay. Intense in floral aromas as well as peach and lemon, it's dusted only slightly in clove and a light barrel imprint. Bright on the tongue and on the finish, it's a food-friendly wine that will complement.",Chardonnay
277,"Silky in cherry and strawberry with a dense midpalate of refined oak, this delicately hued Pinot comes from a single, hillside block of Cuvaison's Carneros property. With pretty aromas of violet and rose, it has richness that isn't overdone, a nice expression of the appellation's power and finesse.",Pinot Noir
278,"A cherry-fresh wine that's so full of fruit that its structure becomes secondary. A dry edge of tannin supports the fruit and acidity, making this wine so drinkable now.",Pinot Noir
279,"Smoke and oak pronounce themselves vigorously on the nose and entry of this 100% varietal wine, which holds on with a tight grip. Black fruit dominates with leather, chocolate and tobacco playing secondary roles. The finish is lengthy and powerful.",Cabernet Sauvignon
280,"Entirely sourced from this Sangiacomo family-farmed vineyard, which is planted entirely to the Old Wente clone, this wine offers fleshy and tropical juiciness and texture. Aged in French oak, the vast majority of it neutral, the wine lets the fruit and acidity speak for themselves.",Chardonnay
281,"From the renowned vineyard's F Block comes a wine with plump wild berries, pencil lead and juniper on a tightly woven nose. Certain to last for years and evolve steadily over that time, the palate now shows lavender, elderberry, elderflower, cranberry essence and a touch of black tea. Drink 2018–2028.",Pinot Noir
282,"Cherry-rhubarb juice, shiitake mushrooms, sagebrush and iron make for a lush and layered nose on this appellation-blend wine that is widely available. The palate begins with plush red cherry then dives into oregano, sage and mace spice. It's expertly complex for a reasonably priced wine.",Pinot Noir
283,"Rich, ripe streaks of black cherry preserve are balanced by savory nuances of dried herb, toast and bramble in this luscious Pinot Noir. Aptly “lusty” in style, it's deeply concentrated with an unabashed fruit-forwardness, but crisp cranberry acidity and a penetrating earthiness gives it marked composure.",Pinot Noir
284,"This wine is sourced from a handful of stellar vineyards, including Pratt, Dutton, Sullivan and Chenoweth. It was given 18 months in French oak, all of it twice-used or older, which contributes to an integrated, understated wood presence that's refreshing in its restraint. Creamy acidity and a taste of baked bread cradles lemon zest and almond before a crisp, lengthy finish.",Chardonnay
285,"Deep, dark blueberry fruit meets with beef char, fudge chocolate and espresso-bean notes on the nose of this blend of 59% Petite Sirah, 15% Syrah, 14% Tannat, 7% Petit Verdot, 4% Grenache and 1% Viognier. The rigid tannins need a little more time to open, but the zesty blueberry, blackberry and black-pepper flavors shine across the fresh, sizzling acidity.",Red Blend
286,"Ripe fruit and oak loom large in this wine, produced from relatively old vines in the heart of the appellation, long a source for the producer's Pinot Noir. Preserved lemon, fleshy melon and caramel dance around each other, steeped in Golden Delicious apple, honey and pear. A high wire of acidity marks the finish.",Chardonnay
287,"This comes in at 15g/L residual sugar, but it's more than offset with mineral-drenched acidity, so it drinks like a dry wine. Pale lemon in hue, it offers citrus flesh and rind in a young, yeasty, medium-bodied wine. The persistent, crisply-defined finish leaves a pleasing aftertaste of tangerine.",Riesling
288,"Mounds of decadent chocolate and cassis round out a smoothly textured wine dotted in dried herb and black olive, coming together in firm tannin and integrated acidity. The finish is leathery.",Cabernet Sauvignon
289,"Aromas of scorched earth, game, truffle and mature plum come together in the glass. The ripe palate offers dried blackberry, mature cherry, anise and almond alongside firm, fine-grained tannins. Drink through 2020.",Red Blend
290,"This red blend is nicely dry, with abundant of dark plum and pomegranate flavors and a full-bodied, moderately tannic mouthfeel. It's easy to drink but bold enough to pair with hearty proteins.",Red Blend
291,"While light in color, this wine is flavorful and easy to enjoy. Its smoothly textured, medium-bodied palate carries generous red cherry and plum flavors.",Red Blend
292,This is the second label from this Gaillac estate. It is a fine mix of red fruits and spice—all fruitiness and with a strong shot of acidity. The wine is made to be drunk young; enjoy this summer.,Red Blend
293,A hint of maple syrup in the aromas and flavors gives this medium-bodied red a touch of sweetness. Oak flavors dominate the modest fruit on the palate.,Cabernet Sauvignon
294,"This wine veers slightly sweet, like many overripe red blends. It's deep in color, soft in and makes a good counterpoint to spicy foods.",Cabernet Sauvignon
295,"This is soft and accessible now, with plush notes of baked apple, creamed pear and oaky spice on the attack. The medium-weight palate is broad in feel, begging for a bit more lift to the rich fruit and buttered toast flavors. Drink now.",Chardonnay
296,"An aromatic opening of compost and vinegar might suggest casting this aside. But flavors of strawberry and chocolate, along with an admitted weedy note, amount to something decent. Finishing notes of brown sugar and berry syrup are chocolaty and ensure that this finishes better than it begins.",Red Blend
297,"This is a simple, tart red, crisp in cranberry and red currant fruit and perfumed with spicy oak. Despite the high acidity on the front palate, it hangs heavy in full-bodied ripeness.",Cabernet Sauvignon
298,"This straw-colored Chardonnay has aromas of apple and citrus blossom with flavors of creamy apple, vanilla and citrus pith. It has nice weight on the palate with a clean acidic finish.",Chardonnay
299,"A clean nose of citrus paves the way for flavors of grapefruit and Sevilla orange. This wine is soft and pleasing on the palate, but it may be touch tart for some tastes.",Chardonnay
300,"Concentrated aromas of blackened oak, blackberry, cassis, licorice and hickory smoke are clarion calls that this is a fully oaked, modern wine. In the mouth, it's heavy and tannic but doesn't trip over itself. Blackberry, cassis, burnt toast and campfire flavors finish equally toasted, peppery, charred and lemony, with chewy tannins. Drink through 2020.",Red Blend
301,"With fresh green-apple aromas, and juicy apple and citrus flavors, this is a lively, crisp and well-balanced wine. Instead of going for overt oaky, buttery flavors and a fat mouthfeel, it stays nicely lean and refreshing, even with relatively full body.",Chardonnay
302,"Coming from a vineyard near Solvang, this wine by Mikael Sigouin shows orange sponge cake, honey and the slightest twist of petrol on the nose. The palate boasts orange blossoms and bright acidity, gaining complexity from chalky white rocks and the slight bitterness of Japanese pear peels.",Riesling
303,"Slightly oxidized aromas of marzipan, pressed yellow flowers, dried lemon rinds and apricot cream entice the nose on this wine from the historic vineyard by Joshua Klapper. The palate shows woody spice and a unique iodine character, with cinnamon, salt, sour yeastiness and a touch of tart citrus peel.",Chardonnay
304,"Sangiovese, Cabernet Sauvignon, Merlot and Syrah come together to offer scents of red currant, toast, cedar and spice. It's firm and savory, with notes of white pepper, aniseed and dried aromatic herbs alongside assertive tannins. Drink 2016–2020.",Red Blend
305,"Blueberry, chocolate, mint and clove aromas lead the nose of this blend of 50% Syrah, 35% Cabernet Franc and 15% Petit Verdot. The palate offers dried black cherries, coffee, cinnamon, black pepper and cocoa. Fine-grained tannins provide the framework.",Red Blend
306,"Solid berry and cassis aromas are a touch baked on the nose. This is firm, moderately tannic on the palate, with baked plum, blackberry, vanilla and spice flavors. A woody note of maple gains prominence on the finish.",Cabernet Sauvignon
307,"One barrel was new French oak, the other neutral. The cranberry fruit here is subdued and tart, while the barrel aging brings in popcorn, walnuts and even a trace of butter brickle. Give this bottle until 2017–2017 to open up.",Pinot Noir
308,"This fruity, friendly Pinot opens with ripe berry aromas mixed with touches of minerality and latex. It feels fresh and sturdy, with black cherry and raspberry flavors. A pure, sweet, lightly chocolaty finish wraps things up.",Pinot Noir
309,"This blend of 50% Cabernet Sauvignon, 25% Merlot and 25% Petit Verdot offers aromas of ripe black-skinned fruit, blue flowers, vineyard dust and dark cooking spices. The firm palate delivers black currants, licorice, cinnamon, ground pepper and Mediterranean herbs. Bracing tannins offer support and leave an astringent, drying finish.",Red Blend
310,"Despite the name, this is the value offering, not the reserve, from Soléna. Young, tart and tight, it displays primary fruit flavors of strawberry and raspberry, with sharp, lemony acids. Holding until 2016–2017 may help to smooth it out, but it's perfectly delightful already.",Pinot Noir
311,"Brambly cassis and raspberry aromas are warm and a touch cooked. This is bullish, heavy and grabby in feel, with big tannins. Blackberry, cassis, herb and chocolate flavors finish ripe and dark. Drink through 2017.",Cabernet Sauvignon
312,"The Riesling remains the highlight of this value-oriented lineup, and it's now in a pretty floral package. Bright fruit flavors of orange, tangerine and apricot jam abound, with a clean and fresh mouthfeel. There's a hint of sweetness, but not enough to render it incompatible with most foods.",Riesling
313,"Deep blueberry, prune and dried purple aromas are made even more delicious by hints of bacon fat on this blend of 60% Petite Sirah, 30% Syrah, 9% Mourvèdre and 1% Grenache. The vintner lives in the historic Uvas Valley between Gilroy and Morgan Hill. Purple fruit juiciness is balanced by a sharp licorice edge, framed by judicious acidity and tannins.",Red Blend
314,"Aromas of underbrush, black fruit, toast and espresso lead the nose on the blend of Sangiovese and 15% Malvasia Nera. The palate is still resting heavily on its oak, showing coffee, coconut, vanilla and mocha, along with dried black cherry, prune and clove. The raspy tannins need to soften up but the fruit richness is already drying up.",Red Blend
315,"Aromas are dominated by oak with accents of vanilla, cocoa and woodspice along with cranberries, rose hips, herbs and raspberries. The palate is elegant with herb and cherry flavors that lead to a tart, cranberry-filled finish.",Cabernet Sauvignon
316,"The nose isn't very expressive, but the palate offers mature blackberry, dried cherry, ground pepper, espresso and anise alonside assertive, astringent tannins. The dried fruit shows the heat of the vintage so best to drink soon.",Red Blend
317,"Extremely fruity and rich, this stops just short of sweetness while delivering delicious cherry, mixed berry and plum flavors with just a touch of tannin and acidity to keep it fresh. It is quite full bodied and ready to drink now.",Red Blend
318,"Generous sweet-tasting oak flavor coats the fresh plum and red cherry flavors in this medium-bodied wine. It has a broad, velvety texture, and shows good balance between ripeness, acidity and firm tannins. It finishes with a soft touch.",Cabernet Sauvignon
319,"Predominantly Syrah (80%) with Petite Sirah and Viognier, this wine conveys raspberries, cherries, flowers, black pepper and dark coffee. It's lighter in style with lip-smacking fruit and barrel flavors.",Red Blend
320,"There are a lot of varieties in this blend, from Merlot, which makes up the majority, to handfuls of Syrah, Zinfandel and Petit Verdot. Sizable tannins wrap themselves around flavors of tobacco, juicy plum and oaky vanilla, finishing dry and ripe.",Red Blend
321,"While the nose is delicate with faint hints of yellow plum and pear, the palate is surprisingly brawny and bold. Rich, buttery and voluminous, this wine showcases ripe citrus and apple flavors, but falls a bit short on the finish.",Chardonnay
322,"This affordable, estate-vineyard 100% Cabernet Sauvignon is chewy in robust tar and leather, with companionable characteristics of cranberry and herb. The acidity is high-toned and the oak profile restrained.",Cabernet Sauvignon
323,"Among the well-differentiated single vineyard selections from Soléna in 2014, this may be the most instantly enjoyable. It's a big, mouth-coating wine, a full-flavored burst of chocolate-covered cherries. Lighter notes of coffee and tobacco filter in through the extended finish.",Pinot Noir
324,"The oak in this wine is restrained, partly because it aged in stainless steel and a sizable percentage of neutral oak. Still, a richness of apple and pear compote provide a steady level of richness, while a lemon squeeze of acidity keeps it fresh and youthful.",Chardonnay
325,"Aromas of this wine show considerable wood. On the palate, the wood is very present, giving acidity as well as layers of toast and spice. Hints of yellow fruit show through, suggesting the possibility of a ripe, rich wine in the future. Drink from 2019.",Chardonnay
326,"This is a sanguine, full-bodied and nearly jammy wine, rich and plush in black and red fruit and a curious twist of beef jerky. Cedar and cranberry provide a crisper, more classical edge burnished on the palate in leathery black pepper.",Cabernet Sauvignon
327,"From 100% estate-grown grapes, and possessing 6.8 g/L of residual sugar, this wine is lovely in peach, pear and lemon, and quite voluptuous in texture, with a hint of spice. Pretty floral aromas of jasmine provide additional flourish and invitation, with the finish dry.",Riesling
328,"An earthy wine that offers complexity around a full-bodied juiciness of blackberry and bitter black tea, this is made in a big style and will appeal to fans of concentration and decisive use of oak.",Cabernet Sauvignon
329,"Allowing Zinfandel to take the 60% lead in this marriage with Cabernet Sauvignon, this is an impressive mingling of the two. Black pepper, clove and leathery cigar fuel a high-powered succulence of black and red fruit accented by a smoky drawl.",Red Blend
